Ministerio del Interior y Seguridad Pública‐Servicio Nacional de Prevención y Rehabilitación del Consumo de Drogas y Alcohol,163840000
Ministerio del Medio Ambiente‐Servicio de Evaluación Ambiental,5880000
Ministerio del Medio Ambiente‐Subsecretaría del Medio Ambiente,223563281
Ministerio del Trabajo y Previsión Social‐Dirección del Trabajo,100132131
Ministerio del Trabajo y Previsión Social‐Instituto de Previsión Social,4436664
Ministerio del Trabajo y Previsión Social‐Instituto de Seguridad Laboral,18464500
Ministerio del Trabajo y Previsión Social‐Servicio Nacional de Capacitación y Empleo,311728775
Ministerio del Trabajo y Previsión Social‐Subsecretaría del Trabajo,207180666
Ministerio del Trabajo y Previsión Social‐Superintendencia de Pensiones,510.38
Ministerio del Trabajo y Previsión Social‐Superintendencia de Seguridad Social,600000
Ministro de Desarrollo Social‐Corporación Nacional de Desarrollo Indígena,58000000
Ministro de Desarrollo Social‐Fondo de Solidaridad e Inversión Social,21802680
Municipios‐Corporación Municipal,90049284
Municipios‐Municipio,14961231354
Poder Legislativo‐Biblioteca del Congreso Nacional,1171320
Servicio Nacional de la Mujer‐Servicio Nacional de la Mujer,4090000
Universidades‐Universidad,359794640
